"Timestamp","Do you specialise in any profession related to art and/or photography?","Which of the following images do you think was colourised by an artificial intelligence algorithm?","Which of the following images do you think was colourised by an artificial intelligence algorithm?","Which of the following images do you think was colourised by an artificial intelligence algorithm?","Which of the following images do you think was colourised by an artificial intelligence algorithm?","Which of the following images do you think was colourised by an artificial intelligence algorithm?","Which of the following images do you think was colourised by an artificial intelligence algorithm?","Which of the following images do you think was colourised by an artificial intelligence algorithm?","Which of the following images do you think was colourised by an artificial intelligence algorithm?","Which of the following images do you think was colourised by an artificial intelligence algorithm?","Which of the following images do you think was colourised by an artificial intelligence algorithm?","How realistic does the following image look?","How realistic does the following image look?","How realistic does the following image look?","How realistic does the following image look?","How realistic does the following image look?","How realistic does the following image look?","How realistic does the following image look?","How realistic does the following image look?","How realistic does the following image look?","How realistic does the following image look?"
"2023/05/25 1:45:37 pm EEST","No","A","A","C","B","D","C","C","C","B","C","4","1","3","1","2","3","1","4","1","4"
"2023/05/25 1:49:46 pm EEST","Yes","D","B","D","B","A","B","D","A","A","B","3","3","2","4","3","2","4","4","3","2"
"2023/05/25 1:54:38 pm EEST","No","D","A","B","D","C","D","A","C","A","C","5","4","3","3","3","3","4","5","3","4"
"2023/05/25 1:57:51 pm EEST","No","D","D","A","C","C","C","A","D","A","A","5","4","1","3","2","2","5","4","3","4"
"2023/05/25 2:00:18 pm EEST","Yes","D","C","C","D","B","C","B","B","A","A","4","5","3","2","1","5","5","3","2","5"
"2023/05/25 2:01:28 pm EEST","No","D","D","B","D","C","C","B","D","B","A","3","4","4","5","3","3","5","5","4","4"
"2023/05/25 2:02:04 pm EEST","Yes","D","D","D","D","A","A","A","D","B","A","4","4","2","3","3","3","3","3","4","4"
"2023/05/25 2:03:47 pm EEST","No","C","C","D","B","A","C","A","D","B","B","4","5","2","1","1","3","4","3","2","3"
"2023/05/25 2:03:55 pm EEST","No","D","C","B","B","D","D","D","C","D","B","2","4","1","1","3","2","2","3","3","1"
"2023/05/25 2:04:47 pm EEST","No","C","D","D","B","A","C","B","A","B","B","4","3","2","2","3","3","4","3","3","4"
"2023/05/25 2:07:20 pm EEST","No","D","A","D","B","D","A","C","A","D","A","3","4","2","3","4","3","4","3","4","3"
"2023/05/25 2:13:31 pm EEST","No","D","A","C","C","D","B","B","B","D","C","3","4","1","2","2","4","3","4","2","3"
"2023/05/25 2:19:13 pm EEST","No","D","A","C","D","B","D","B","B","D","D","5","5","2","3","3","4","5","4","4","5"
"2023/05/25 2:19:25 pm EEST","No","C","A","C","B","A","D","A","C","D","A","4","3","2","2","2","3","4","3","3","1"
"2023/05/25 2:20:41 pm EEST","Yes","D","A","B","B","C","D","C","C","B","D","4","4","2","3","3","3","4","3","4","5"
"2023/05/25 2:23:17 pm EEST","No","C","C","B","D","C","C","D","D","B","B","4","5","3","3","3","2","3","2","2","1"
"2023/05/25 2:32:48 pm EEST","No","C","D","D","B","B","C","B","B","C","D","4","4","1","2","3","3","3","2","2","3"
"2023/05/25 2:46:45 pm EEST","No","C","D","D","B","A","C","B","A","C","D","5","3","3","4","5","2","4","5","3","4"
"2023/05/25 2:51:01 pm EEST","No","C","C","C","D","C","C","A","B","D","D","5","4","2","2","2","1","3","5","5","4"
"2023/05/25 2:57:32 pm EEST","No","A","C","D","B","C","A","B","D","B","D","2","4","1","3","3","2","2","2","3","4"
"2023/05/25 3:15:14 pm EEST","No","D","A","C","C","B","D","D","B","D","D","1","4","1","1","1","1","5","3","1","5"
"2023/05/25 3:23:56 pm EEST","No","C","D","D","B","C","C","B","C","C","A","5","5","1","2","3","3","4","3","5","4"
"2023/05/25 3:25:48 pm EEST","No","A","A","C","D","C","D","B","B","C","C","4","5","3","4","3","3","4","4","3","4"
"2023/05/25 4:10:02 pm EEST","No","C","D","D","B","C","C","C","C","B","A","4","3","1","1","2","2","2","2","3","4"
"2023/05/25 4:23:56 pm EEST","No","B","A","B","B","C","A","D","D","B","B","4","3","4","2","4","3","4","2","4","4"
"2023/05/25 4:43:21 pm EEST","No","D","C","B","B","C","C","A","D","A","D","4","5","3","1","1","3","2","1","3","4"
"2023/05/25 4:46:08 pm EEST","No","B","D","D","D","C","C","D","D","A","D","4","4","3","4","2","3","5","2","2","3"
"2023/05/25 4:53:47 pm EEST","No","A","C","B","D","C","C","A","D","A","A","3","4","2","4","1","4","4","2","1","4"
"2023/05/25 5:01:03 pm EEST","No","C","D","C","D","A","D","B","A","B","D","5","4","4","2","5","4","4","3","5","4"
"2023/05/25 5:14:54 pm EEST","No","D","D","C","C","B","A","D","C","B","B","3","5","1","3","3","4","3","4","3","3"
"2023/05/25 5:17:13 pm EEST","No","B","C","B","B","C","C","A","D","A","C","4","5","3","5","3","2","5","5","3","4"
"2023/05/25 6:08:28 pm EEST","No","C","D","A","B","A","C","D","D","C","D","4","3","2","2","3","4","4","3","3","3"
"2023/05/25 6:08:48 pm EEST","No","C","D","B","B","A","D","C","D","C","D","5","3","1","5","3","3","4","4","3","5"
"2023/05/25 6:18:52 pm EEST","No","D","A","D","B","A","C","D","C","A","C","3","4","3","5","1","3","4","5","3","3"
"2023/05/25 6:19:17 pm EEST","No","D","A","B","D","C","C","B","D","B","D","2","4","1","3","3","2","4","4","3","5"
"2023/05/25 8:47:08 pm EEST","No","D","A","C","D","B","A","B","B","C","D","3","4","2","3","2","2","2","1","1","3"
"2023/05/25 9:03:55 pm EEST","No","D","A","D","A","B","B","C","B","D","A","5","5","3","3","5","4","5","5","4","2"
"2023/05/25 11:01:14 pm EEST","No","C","C","D","D","C","C","D","B","B","B","5","2","3","4","2","2","4","5","4","2"
"2023/05/25 11:05:29 pm EEST","Yes","A","D","D","B","A","A","A","B","D","A","4","5","3","4","3","2","4","3","3","2"
"2023/05/26 7:14:43 am EEST","Yes","D","A","B","B","C","C","A","D","D","A","4","4","2","3","3","3","4","4","3","3"
"2023/05/26 8:25:54 am EEST","No","A","C","B","B","D","C","D","A","B","A","5","5","2","4","1","1","3","5","2","5"
"2023/05/26 9:06:52 am EEST","No","D","A","C","A","B","B","C","B","C","C","4","4","2","2","3","3","5","2","3","3"
"2023/05/26 9:16:41 am EEST","No","C","C","A","D","A","C","B","D","B","D","4","4","4","4","4","4","4","4","4","4"
"2023/05/26 9:28:30 am EEST","No","D","A","C","A","D","B","C","C","D","D","5","5","3","3","2","5","5","5","3","5"
"2023/05/26 10:30:50 am EEST","No","A","A","B","D","C","D","C","C","C","D","3","2","1","4","4","1","3","4","2","5"
"2023/05/26 2:29:39 pm EEST","No","D","A","B","A","D","D","C","B","C","A","4","3","2","2","2","5","4","4","2","2"
"2023/05/26 8:45:58 pm EEST","No","A","D","B","B","D","B","A","C","D","A","4","4","2","3","2","2","3","3","2","1"
"2023/05/26 8:48:28 pm EEST","No","A","D","B","B","C","B","A","A","B","D","4","5","4","3","4","3","5","5","5","5"
"2023/05/26 10:26:24 pm EEST","No","D","D","A","C","A","D","A","C","D","A","2","4","1","2","3","4","5","3","2","4"
"2023/05/27 11:40:39 am EEST","No","A","C","B","D","B","A","A","B","A","D","4","4","1","2","1","5","2","4","1","3"
"2023/05/27 1:07:17 pm EEST","Yes","D","A","B","D","A","A","A","B","C","C","4","5","2","4","1","4","3","3","1","2"
"2023/05/27 2:17:34 pm EEST","No","D","A","C","C","B","D","C","B","D","D","3","4","2","5","3","5","4","2","1","3"
"2023/05/27 3:31:37 pm EEST","No","C","A","D","D","B","B","C","B","A","D","5","4","4","4","3","3","3","5","5","5"