Timestamp,Do you specialise in any profession related to art and/or photography?,Which of the following images do you think was colourised by an artificial intelligence algorithm?,Which of the following images do you think was colourised by an artificial intelligence algorithm?,Which of the following images do you think was colourised by an artificial intelligence algorithm?,Which of the following images do you think was colourised by an artificial intelligence algorithm?,Which of the following images do you think was colourised by an artificial intelligence algorithm?,Which of the following images do you think was colourised by an artificial intelligence algorithm?,Which of the following images do you think was colourised by an artificial intelligence algorithm?,Which of the following images do you think was colourised by an artificial intelligence algorithm?,Which of the following images do you think was colourised by an artificial intelligence algorithm?,Which of the following images do you think was colourised by an artificial intelligence algorithm?,How realistic does the following image look?,How realistic does the following image look?,How realistic does the following image look?,How realistic does the following image look?,How realistic does the following image look?,How realistic does the following image look?,How realistic does the following image look?,How realistic does the following image look?,How realistic does the following image look?,How realistic does the following image look?
5/27/2023 21:42:04,No,D,A,A,A,B,A,D,A,A,A,4,4,4,2,4,4,2,4,4,4
5/27/2023 21:55:01,No,C,B,B,B,D,B,C,B,B,A,2,3,2,4,4,3,3,3,4,3
5/27/2023 22:07:15,Yes,C,B,B,C,D,B,C,B,B,A,3,2,1,2,5,4,3,2,4,3
5/27/2023 22:26:44,No,C,B,C,B,D,B,C,A,B,A,4,3,2,3,5,5,3,3,4,4
5/27/2023 22:58:51,No,C,B,B,C,D,B,C,A,D,D,1,1,1,1,4,3,2,2,2,3
5/27/2023 23:04:11,No,C,A,B,B,D,D,D,B,B,A,3,3,2,3,5,4,3,4,4,5
5/27/2023 23:07:14,No,C,B,B,C,C,B,C,C,B,A,3,3,3,4,4,3,3,5,5,5
5/28/2023 6:37:29,No,C,B,D,C,B,D,A,A,D,B,1,2,1,3,4,4,3,1,2,5
5/28/2023 7:27:55,No,C,C,A,B,A,B,B,C,C,B,4,4,2,3,4,5,2,5,5,5
5/28/2023 8:07:06,No,A,D,C,A,B,D,A,C,D,C,4,3,2,4,4,4,4,3,4,2
5/28/2023 8:59:51,No,C,B,B,C,D,B,C,B,B,A,3,2,3,4,5,4,3,3,4,4
5/28/2023 9:58:29,No,C,A,B,C,C,D,C,B,D,D,3,2,2,1,3,4,2,4,5,2
5/28/2023 10:05:26,No,D,D,A,A,D,A,A,D,B,D,5,5,5,4,5,5,4,5,5,5
5/28/2023 10:18:10,No,C,B,B,B,D,B,C,B,A,C,3,3,2,4,5,5,4,5,5,5
5/28/2023 10:26:50,No,A,B,A,B,D,B,A,B,C,C,3,3,2,5,5,4,4,4,5,5
5/28/2023 10:37:29,No,A,D,B,B,D,C,C,B,B,C,3,3,2,4,5,5,3,2,5,3
5/28/2023 10:47:31,No,A,D,B,B,C,B,C,D,C,C,4,3,2,3,4,4,3,3,2,4
5/28/2023 11:00:44,No,C,B,B,A,D,B,C,B,C,A,3,4,1,3,5,4,3,3,4,4
5/28/2023 13:06:48,No,C,D,B,D,B,A,D,D,A,C,1,1,1,3,4,4,2,2,4,5
5/28/2023 16:15:03,No,C,B,B,B,D,B,C,A,B,A,2,2,1,4,4,3,3,2,3,4
5/28/2023 19:06:41,No,D,C,A,A,B,A,A,A,A,A,4,2,3,5,5,3,1,2,4,5
5/29/2023 8:44:31,No,A,B,B,C,D,D,A,C,C,C,3,3,3,4,4,5,3,3,4,4
5/29/2023 10:19:35,No,C,B,B,C,D,B,C,B,B,A,3,3,4,4,5,3,3,4,4,5
5/29/2023 12:19:19,No,D,C,C,D,B,A,D,C,A,A,5,4,5,4,5,5,4,5,5,5
5/29/2023 15:42:57,Yes,C,B,B,B,D,B,C,A,B,A,3,3,2,2,4,4,3,3,3,4
5/29/2023 18:10:40,No,C,A,B,A,D,B,C,B,B,A,3,3,2,4,4,2,2,4,4,4
5/29/2023 22:02:31,No,D,D,D,C,D,D,D,A,B,C,3,3,1,2,2,4,3,3,2,3
5/30/2023 13:39:14,No,C,B,B,C,D,B,C,A,B,A,3,3,2,3,5,5,3,4,4,4
5/30/2023 16:34:21,No,A,A,B,B,D,B,C,B,A,C,3,2,1,2,3,3,1,4,2,4
5/30/2023 18:04:17,No,B,A,D,B,D,D,D,C,B,C,4,4,4,5,5,2,5,3,5,5
5/30/2023 18:45:28,No,A,D,A,C,A,A,B,B,A,D,4,3,4,4,3,2,2,2,3,4
5/30/2023 21:20:03,No,C,D,B,A,B,B,C,B,C,A,4,4,3,4,5,4,3,4,2,4